Timestamp,Ngp,Npt,HPC_ASV_Command,HPC_ASV_Position,HPC_Surge_Margin,HPC_ASC_Flow_DP,HPC_Suction_Press,HPC_Discharge_Press
2024-05-08 00:15:00+00:00,95.5233,85.3897,91.3291,91.4926,13.1444,82.6063,104.0871,267.316
2024-05-08 00:16:00+00:00,95.3451,85.1952,89.4872,89.7827,11.2454,79.4381,104.0721,266.4358
2024-05-08 00:17:00+00:00,95.4745,85.2584,89.2717,89.3483,13.0176,81.6572,104.4915,266.5085
2024-05-08 00:18:00+00:00,95.5885,85.3592,89.91,89.8187,13.0319,82.0558,104.7425,267.4948
2024-05-08 00:19:00+00:00,95.3679,85.2663,90.4225,90.9119,10.4108,78.5389,103.8221,266.7067
2024-05-08 00:20:00+00:00,95.1413,85.0057,87.3675,87.5435,10.2881,77.7277,104.0417,265.3748
2024-05-08 00:21:00+00:00,95.4405,85.2277,87.2988,87.0965,12.8235,80.7991,104.8676,265.9573
2024-05-08 00:22:00+00:00,95.8246,85.6974,90.5128,90.4119,14.8739,85.0292,104.8093,268.1875
2024-05-08 00:23:00+00:00,95.5824,85.6212,92.6614,92.7644,11.8834,81.7782,103.4407,268.1763
2024-05-08 00:24:00+00:00,95.3815,85.3529,90.0814,90.2787,11.3443,79.7721,103.9809,266.5575
2024-05-08 00:25:00+00:00,95.4221,85.3078,89.3434,89.7305,11.9822,80.5164,104.1026,266.5053
2024-05-08 00:26:00+00:00,95.5058,85.2994,90.0319,90.0651,12.5936,81.3358,104.293,266.7289
2024-05-08 00:27:00+00:00,95.6664,85.4369,91.3312,91.1236,13.819,83.4668,104.3269,267.3435
2024-05-08 00:28:00+00:00,95.5326,85.3784,91.9837,91.9474,12.0677,81.3135,103.9388,267.4359
2024-05-08 00:29:00+00:00,95.3877,85.1095,90.0474,90.1383,11.8384,80.2542,104.0723,266.2715
2024-05-08 00:30:00+00:00,95.3872,85.1343,90.0568,89.9488,12.0068,80.2816,104.2935,266.2806
2024-05-08 00:31:00+00:00,95.5956,85.3365,91.0334,90.904,13.9526,83.4758,104.5141,267.2502
2024-05-08 00:32:00+00:00,95.5459,85.2955,90.9857,91.1711,12.701,81.8069,104.1718,267.0564
2024-05-08 00:33:00+00:00,95.534,85.2596,91.2367,91.2394,13.0276,82.1562,104.2898,266.9872
2024-05-08 00:34:00+00:00,95.5393,85.2342,91.6027,91.6024,11.8631,80.5755,104.3269,267.1769
2024-05-08 00:35:00+00:00,95.3884,85.1597,91.7329,91.9074,11.1169,79.5938,103.9525,266.8371
2024-05-08 00:36:00+00:00,95.3492,85.0669,90.3589,90.3829,12.1505,80.4874,104.2577,266.3833
2024-05-08 00:37:00+00:00,95.4111,85.1387,90.1987,90.1233,13.4293,82.0058,104.5173,266.1238
2024-05-08 00:38:00+00:00,95.4073,85.1589,90.6739,90.5983,12.0828,80.4032,104.1642,266.2833
2024-05-08 00:39:00+00:00,95.3895,85.1646,89.7451,89.6096,13.2003,81.5669,104.4843,265.9323
2024-05-08 00:40:00+00:00,95.3717,85.1702,89.9979,89.9397,11.6061,79.4236,104.361,266.0557
2024-05-08 00:41:00+00:00,95.4779,85.2501,89.1156,89.1348,13.3454,81.7841,104.7076,266.2801
2024-05-08 00:42:00+00:00,95.3249,85.3433,88.8083,89.1375,11.0681,79.0259,104.0143,266.3141
2024-05-08 00:43:00+00:00,95.6909,85.5839,88.956,88.9731,13.4224,82.3879,104.846,267.2819
2024-05-08 00:44:00+00:00,95.6152,85.6272,91.1227,91.1325,12.5297,81.9329,103.8356,267.4359
2024-05-08 00:45:00+00:00,95.6028,85.4582,90.154,90.0255,13.0095,82.3937,104.0295,267.0603
2024-05-08 00:46:00+00:00,95.6135,85.4299,90.453,90.3778,12.0234,81.2274,104.1026,267.5663
2024-05-08 00:47:00+00:00,95.4855,85.4356,89.0285,90.9244,9.4949,77.6692,103.9085,267.6602
2024-05-08 00:48:00+00:00,95.567,85.4413,90.6768,91.1322,12.6574,81.8642,104.0723,267.078
2024-05-08 00:49:00+00:00,95.4256,85.237,90.971,91.4865,12.0174,80.8952,103.9085,266.7931
2024-05-08 00:50:00+00:00,95.4843,85.183,89.7009,89.7364,13.4601,82.0932,104.2663,265.7925
2024-05-08 00:51:00+00:00,95.5519,85.3741,90.9349,90.9004,13.4184,82.5644,103.9451,266.4046
2024-05-08 00:52:00+00:00,95.3919,85.2386,91.3277,91.7422,11.597,80.0961,103.8782,266.7257
